n	id	ed	cut	H	soln
10	0	23	17	-22	1001100010
10	1	23	16	-18	101101000
10	2	23	17	-22	11011010
10	3	23	17	-22	1010011000
10	4	23	17	-22	101001100
10	5	23	16	-18	111110000
10	6	23	18	-26	1001101000
10	7	23	16	-18	10101100
10	8	23	17	-22	1100111010
10	9	23	17	-22	1111000100
20	0	95	62	-58	01011010110111010000
20	1	95	66	-74	11100110011000000110
20	2	95	64	-66	01011100011101100100
20	3	95	63	-62	00011011000010011100
20	4	95	66	-74	01100110010101111001
20	5	95	66	-74	01010010001101010101
20	6	95	65	-70	00100101010110110011
20	7	95	64	-66	11101111010001100100
20	8	95	66	-74	00101100101111110000
20	9	95	65	-70	00010100110101101101
30	0	218	140	-124	011001010011111010001011101001
30	1	218	137	-112	100100110000110001011111100011
30	2	218	140	-124	011000010111110011001100001101
30	3	218	139	-120	001111011001100110000101101010
30	4	218	140	-124	011010000011010011100001111011
30	5	218	141	-128	100001100000100110111011101111
30	6	218	139	-120	000001010011111001011100101110
30	7	218	140	-124	100101001001110101001101100001
30	8	218	139	-120	000101111011111001100100100100
30	9	218	137	-112	110101110000011000010011111001
40	0	390	246	-204	1000101111011100011000101100110101010110
40	1	390	242	-188	1001101110010001011011100110011110100000
40	2	390	244	-196	1100000100111011010000100011100110011010
40	3	390	242	-188	1010011001010101111101111001010011100010
40	4	390	240	-180	1001101010010101011100111011101010100001
40	5	390	245	-200	1100111110111101100001110000111100000001
40	6	390	241	-184	1101110010111011001000000111001001101011
40	7	390	245	-200	1101111000101011100011000001001011101000
40	8	390	240	-180	1000011010010000011111111000011110101001
40	9	390	244	-196	1010100011110100111110101000011011010100
50	0	613	374	-270	00101110001110111100111000101000101001111101100100
50	1	613	373	-266	11000100110110101100111010101100001110010100101000
50	2	613	378	-286	10010001010100111010001110111011000100010010001111
50	3	613	375	-274	10101010001011100100111010000001101001111010001110
50	4	613	372	-262	00100111001010011000100100100010101011111011111001
50	5	613	376	-278	00001101101001100101111000111001011001111001001110
50	6	613	379	-290	10001111101111100010011010000010101000101001010111
50	7	613	375	-274	10101111001110001010011000001100011000101100001111
50	8	613	375	-274	10000100101110010101000101110101011011011001001010
50	9	613	377	-282	00100011100100111110000111111000001111001110010001
60	0	885	533	-362	010010110100111110000000001001111101110011100010101100011001
60	1	885	535	-370	010010000100110010101011011111000011101011000111001100101001
60	2	885	533	-362	011011000101010011001101110000101010001111000000111011110110
60	3	885	534	-366	001101010010101001001110000010100011111111111011010110100000
60	4	885	528	-342	001110110001010010001001110000011011010111001111011010110110
60	5	885	539	-386	010000100011100010011110101111110110011101101100011000000111
60	6	885	529	-346	101011010010010101011101001110100100111111101000010100011100
60	7	885	530	-350	100101101110000111101101111000000111000111110000100000001110
60	8	885	537	-378	100011111111110000100001101111000100001110001110000110101101
60	9	885	529	-346	010100100110100111101111100011000100100011110110000101101100
70	0	1208	720	-464	0101011101110000100010011110101101001001100001111011111100000011011000
70	1	1208	713	-436	1111101011011001011010111010110000001100001011000011001100010011001000
70	2	1208	716	-448	1110001000000101001110111100000110011010011011100001011111010011010110
70	3	1208	711	-428	1000111000000001100110001011100100110001101110011000101111010101111110
70	4	1208	721	-468	0011100111010000100010000101101110101100001000111111101001111110010001
70	5	1208	719	-460	0110001101001100011010000001001011111011111100010110110001100001010101
70	6	1208	719	-460	0011100000000001011111100100100101111011011100000111000111101100011011
70	7	1208	716	-448	0110100001001010111110000110011111000000011111010001001100001111011101
70	8	1208	719	-460	1100111110110111100010011101101010100010011010100000000011011100100111
70	9	1208	717	-452	1011010111110110001010101011010010011001000011001010001111001100001001
80	0	1580	925	-540	01001110001111100001110111000100100101010110010111001000010011100011110110011000
80	1	1580	923	-532	10010111011110000010101001110100001010101101111000101101100010100101010111000101
80	2	1580	926	-544	11100000001010011000010111001111011001101100010101001110000011111100001101101101
80	3	1580	927	-548	01100100101000111101101010101011101001101110000100000010101000010111111100111100
80	4	1580	925	-540	01011000110010100110000110101010100010000101110100110011111010000111110111010101
80	5	1580	927	-548	01001001110111011101010110110001010111100010011110101110111110100000001000001001
80	6	1580	929	-556	11110100010011110011001110110000110101100100100001011111001110110100001011011000
80	7	1580	930	-560	11001001101110100100010111101110010010110010110110101101110110001111000010000010
80	8	1580	929	-556	01010101010000001001111010010100110001000011011001010011111001110111101011111000
80	9	1580	928	-552	01011101011111100101010010010101100011100110101111010000010000010101010011110100
90	0	2003	1175	-694	111010101001010100010010110001001100100010101011101010011110001111100101011000111001100110
