80	1580
1	2	1
2	4	1
3	4	1
2	5	1
3	5	1
4	5	1
1	6	1
4	6	1
2	7	1
6	7	1
3	8	1
4	8	1
5	8	1
7	8	1
3	9	1
5	9	1
7	9	1
3	10	1
5	10	1
8	10	1
3	11	1
8	11	1
9	11	1
10	11	1
2	12	1
3	12	1
7	12	1
11	12	1
3	13	1
4	13	1
6	13	1
8	13	1
1	14	1
2	14	1
3	14	1
4	14	1
7	14	1
10	14	1
4	15	1
5	15	1
6	15	1
7	15	1
8	15	1
9	15	1
10	15	1
12	15	1
13	15	1
14	15	1
2	16	1
3	16	1
5	16	1
6	16	1
9	16	1
10	16	1
11	16	1
13	16	1
15	16	1
1	17	1
5	17	1
11	17	1
12	17	1
14	17	1
15	17	1
16	17	1
1	18	1
2	18	1
3	18	1
4	18	1
8	18	1
9	18	1
10	18	1
13	18	1
14	18	1
16	18	1
1	19	1
3	19	1
8	19	1
9	19	1
12	19	1
13	19	1
14	19	1
18	19	1
1	20	1
4	20	1
8	20	1
9	20	1
12	20	1
14	20	1
19	20	1
1	21	1
3	21	1
10	21	1
11	21	1
12	21	1
13	21	1
15	21	1
17	21	1
2	22	1
3	22	1
6	22	1
9	22	1
12	22	1
16	22	1
20	22	1
1	23	1
2	23	1
3	23	1
5	23	1
8	23	1
11	23	1
15	23	1
18	23	1
3	24	1
4	24	1
5	24	1
7	24	1
11	24	1
13	24	1
14	24	1
15	24	1
16	24	1
18	24	1
19	24	1
21	24	1
23	24	1
1	25	1
6	25	1
7	25	1
9	25	1
10	25	1
11	25	1
14	25	1
17	25	1
18	25	1
19	25	1
21	25	1
22	25	1
23	25	1
2	26	1
3	26	1
4	26	1
5	26	1
11	26	1
17	26	1
20	26	1
21	26	1
22	26	1
23	26	1
24	26	1
1	27	1
2	27	1
3	27	1
4	27	1
7	27	1
9	27	1
10	27	1
11	27	1
12	27	1
13	27	1
14	27	1
17	27	1
19	27	1
20	27	1
21	27	1
23	27	1
25	27	1
26	27	1
4	28	1
8	28	1
12	28	1
13	28	1
17	28	1
18	28	1
23	28	1
25	28	1
26	28	1
27	28	1
1	29	1
2	29	1
3	29	1
4	29	1
5	29	1
8	29	1
9	29	1
12	29	1
14	29	1
15	29	1
17	29	1
19	29	1
20	29	1
21	29	1
23	29	1
24	29	1
26	29	1
28	29	1
2	30	1
3	30	1
5	30	1
6	30	1
10	30	1
11	30	1
12	30	1
13	30	1
14	30	1
17	30	1
18	30	1
19	30	1
21	30	1
27	30	1
29	30	1
3	31	1
7	31	1
9	31	1
10	31	1
11	31	1
12	31	1
15	31	1
17	31	1
18	31	1
19	31	1
20	31	1
21	31	1
22	31	1
23	31	1
24	31	1
27	31	1
1	32	1
2	32	1
4	32	1
5	32	1
7	32	1
8	32	1
10	32	1
11	32	1
12	32	1
13	32	1
15	32	1
18	32	1
19	32	1
20	32	1
23	32	1
26	32	1
31	32	1
2	33	1
4	33	1
7	33	1
11	33	1
13	33	1
14	33	1
15	33	1
16	33	1
20	33	1
22	33	1
24	33	1
25	33	1
27	33	1
29	33	1
32	33	1
2	34	1
4	34	1
5	34	1
7	34	1
11	34	1
12	34	1
14	34	1
16	34	1
21	34	1
23	34	1
24	34	1
28	34	1
29	34	1
32	34	1
33	34	1
1	35	1
2	35	1
4	35	1
5	35	1
9	35	1
11	35	1
12	35	1
16	35	1
19	35	1
20	35	1
21	35	1
23	35	1
25	35	1
29	35	1
32	35	1
33	35	1
34	35	1
3	36	1
5	36	1
7	36	1
8	36	1
15	36	1
16	36	1
17	36	1
18	36	1
20	36	1
22	36	1
24	36	1
29	36	1
30	36	1
31	36	1
35	36	1
2	37	1
3	37	1
4	37	1
6	37	1
12	37	1
18	37	1
20	37	1
21	37	1
22	37	1
23	37	1
26	37	1
28	37	1
29	37	1
30	37	1
33	37	1
35	37	1
36	37	1
1	38	1
5	38	1
9	38	1
11	38	1
12	38	1
13	38	1
15	38	1
16	38	1
17	38	1
18	38	1
21	38	1
24	38	1
25	38	1
26	38	1
27	38	1
32	38	1
33	38	1
34	38	1
36	38	1
37	38	1
1	39	1
3	39	1
4	39	1
6	39	1
12	39	1
15	39	1
17	39	1
18	39	1
19	39	1
20	39	1
21	39	1
22	39	1
23	39	1
24	39	1
26	39	1
28	39	1
29	39	1
30	39	1
35	39	1
36	39	1
37	39	1
38	39	1
1	40	1
2	40	1
7	40	1
11	40	1
14	40	1
16	40	1
17	40	1
18	40	1
19	40	1
25	40	1
26	40	1
27	40	1
30	40	1
35	40	1
36	40	1
38	40	1
39	40	1
1	41	1
2	41	1
3	41	1
7	41	1
8	41	1
9	41	1
10	41	1
11	41	1
12	41	1
13	41	1
16	41	1
18	41	1
25	41	1
26	41	1
27	41	1
28	41	1
31	41	1
32	41	1
36	41	1
37	41	1
39	41	1
1	42	1
2	42	1
3	42	1
5	42	1
8	42	1
9	42	1
12	42	1
14	42	1
15	42	1
16	42	1
18	42	1
19	42	1
20	42	1
22	42	1
24	42	1
26	42	1
29	42	1
30	42	1
31	42	1
32	42	1
33	42	1
34	42	1
36	42	1
40	42	1
41	42	1
3	43	1
5	43	1
6	43	1
7	43	1
8	43	1
9	43	1
10	43	1
12	43	1
14	43	1
16	43	1
17	43	1
19	43	1
23	43	1
25	43	1
27	43	1
33	43	1
34	43	1
38	43	1
1	44	1
6	44	1
9	44	1
10	44	1
12	44	1
15	44	1
16	44	1
17	44	1
22	44	1
23	44	1
25	44	1
27	44	1
29	44	1
30	44	1
37	44	1
38	44	1
39	44	1
40	44	1
42	44	1
1	45	1
6	45	1
7	45	1
10	45	1
13	45	1
14	45	1
16	45	1
17	45	1
20	45	1
21	45	1
22	45	1
23	45	1
24	45	1
27	45	1
28	45	1
32	45	1
34	45	1
35	45	1
36	45	1
40	45	1
41	45	1
43	45	1
44	45	1
1	46	1
9	46	1
10	46	1
11	46	1
14	46	1
15	46	1
17	46	1
18	46	1
27	46	1
28	46	1
29	46	1
30	46	1
32	46	1
33	46	1
34	46	1
35	46	1
36	46	1
38	46	1
39	46	1
41	46	1
42	46	1
44	46	1
1	47	1
2	47	1
7	47	1
13	47	1
14	47	1
15	47	1
16	47	1
18	47	1
20	47	1
21	47	1
24	47	1
26	47	1
27	47	1
29	47	1
31	47	1
34	47	1
35	47	1
38	47	1
40	47	1
44	47	1
1	48	1
3	48	1
6	48	1
7	48	1
10	48	1
12	48	1
14	48	1
15	48	1
17	48	1
18	48	1
20	48	1
21	48	1
22	48	1
23	48	1
26	48	1
28	48	1
29	48	1
33	48	1
34	48	1
38	48	1
39	48	1
40	48	1
41	48	1
43	48	1
45	48	1
46	48	1
3	49	1
10	49	1
14	49	1
16	49	1
19	49	1
22	49	1
23	49	1
24	49	1
25	49	1
26	49	1
27	49	1
31	49	1
32	49	1
33	49	1
34	49	1
35	49	1
36	49	1
37	49	1
38	49	1
